1283: {39, 44}
1291: {4, 9}
1293: {44, 49}
1308: {42, 47}
1308: {43, 48}
1321: {2, 7}
1321: {3, 8}
1325: {96, 101}
1360: {14, 19}
1365: {95, 100}
1365: {96, 101}
1431: {10, 15}
1502: {28, 33}
1502: {29, 34}
1534: {9, 14}
1540: {38, 43}
1544: {43, 48}
1601: {32, 37}
1601: {50, 55}
1602: {89, 94}
1616: {15, 20}
1653: {90, 95}
1654: {39, 44}
1657: {15, 20}
1659: {36, 41}
1664: {76, 81}
1666: {79, 84}
1675: {36, 41}
1679: {36, 41}
1685: {51, 56}
1711: {74, 79}
1714: {30, 35}
1716: {59, 64}
1729: {85, 90}
1729: {86, 91}
1775: {47, 52}
1809: {80, 85}
1823: {49, 54}
1823: {50, 55}
1823: {57, 62}
564: {70, 75}
571: {50, 55}
571: {51, 56}
571: {52, 57}
592: {12, 17}
592: {13, 18}
609: {75, 80}
663: {4, 9}
663: {5, 10}
690: {76, 81}
701: {67, 72}
708: {7, 12}
731: {79, 84}
731: {80, 85}
731: {81, 86}
785: {21, 26}
795: {17, 22}
813: {62, 67}
823: {16, 21}
831: {81, 86}
838: {78, 83}
838: {79, 84}
838: {80, 85}
842: {12, 17}
896: {78, 83}
896: {79, 84}
902: {95, 100}
918: {70, 75}
932: {48, 53}
936: {8, 13}
937: {89, 94}
947: {94, 99}
981: {52, 57}
981: {53, 58}
981: {54, 59}
1017: {43, 48}
1036: {65, 70}
1053: {64, 69}
1053: {65, 70}
1092: {11, 16}
1098: {33, 38}
1100: {10, 15}
1137: {10, 15}
1141: {91, 96}
1171: {12, 17}
1172: {58, 63}
1177: {23, 28}
1188: {60, 65}
1198: {9, 14}
1198: {10, 15}
4052: {54, 59}
4123: {72, 77}
4123: {73, 78}
4155: {53, 58}
4161: {82, 87}
4165: {87, 92}
4222: {76, 81}
4222: {94, 99}
4224: {33, 38}
4237: {59, 64}
4275: {34, 39}
4275: {83, 88}
4278: {59, 64}
4280: {80, 85}
4286: {20, 25}
4288: {23, 28}
4296: {80, 85}
4300: {80, 85}
4306: {95, 100}
4333: {18, 23}
4335: {74, 79}
4338: {3, 8}
4351: {29, 34}
4351: {30, 35}
4396: {91, 96}
4431: {24, 29}
4444: {93, 98}
4444: {94, 99}
4445: {1, 6}
4447: {34, 39}
4455: {79, 84}
4456: {27, 32}
4456: {53, 58}
4456: {54, 59}
4456: {55, 60}
4459: {47, 52}
4484: {13, 18}
4484: {14, 19}
4500: {56, 61}
4500: {57, 62}
4542: {76, 81}
4545: {45, 50}
4557: {91, 96}
4589: {72, 77}
4625: {3, 8}
4650: {67, 72}
4654: {89, 94}
4654: {90, 95}
4711: {45, 50}
4714: {22, 27}
4734: {90, 95}
4738: {20, 25}
4742: {36, 41}
4742: {37, 42}
4742: {38, 43}
4742: {39, 44}
4762: {35, 40}
4770: {54, 59}
4779: {59, 64}
4779: {60, 65}
4797: {90, 95}
4814: {1, 6}
4816: {39, 44}
4816: {40, 45}
4819: {60, 65}
4819: {61, 66}
4829: {61, 66}
4829: {62, 67}
4829: {63, 68}
4870: {93, 98}
4870: {94, 99}
4870: {95, 100}
4871: {70, 75}
4875: {80, 85}
4886: {67, 72}
4889: {60, 65}
4889: {67, 72}
4924: {34, 39}
4935: {22, 27}
4935: {23, 28}
4935: {24, 29}
4950: {71, 76}
4970: {53, 58}
4995: {80, 85}
5026: {8, 13}
5026: {9, 14}
5028: {67, 72}
5036: {80, 85}
5040: {4, 9}
5083: {44, 49}
5083: {45, 50}
5113: {77, 82}
5122: {11, 16}
5141: {96, 101}
5171: {1, 6}
5206: {13, 18}
5208: {68, 73}
5208: {69, 74}
5208: {70, 75}
5211: {25, 30}
5215: {78, 83}
5216: {36, 41}
5219: {42, 47}
5249: {24, 29}
5259: {74, 79}
5260: {60, 65}
5272: {73, 78}
5272: {74, 79}
5281: {37, 42}
5295: {92, 97}
5325: {27, 32}
5325: {83, 88}
5327: {69, 74}
5350: {20, 25}
5358: {71, 76}
5358: {82, 87}
5358: {83, 88}
5358: {84, 89}
5365: {1, 6}
5370: {89, 94}
5394: {6, 11}
5397: {29, 34}
5402: {43, 48}
5420: {31, 36}
5420: {32, 37}
5423: {78, 83}
5437: {62, 67}
5439: {80, 85}
5456: {91, 96}
5456: {92, 97}
5472: {63, 68}
5495: {86, 91}
5508: {39, 44}
5508: {40, 45}
5520: {40, 45}
5523: {25, 30}
5536: {88, 93}
5537: {84, 89}
5562: {53, 58}
5574: {82, 87}
5574: {83, 88}
5580: {6, 11}
5581: {79, 84}
5588: {94, 99}
5588: {95, 100}
5597: {43, 48}
5600: {85, 90}
5605: {35, 40}
5671: {87, 92}
5676: {29, 34}
9404: {70, 75}
9408: {75, 80}
9465: {64, 69}
9465: {82, 87}
9467: {21, 26}
9480: {47, 52}
9518: {22, 27}
9518: {71, 76}
9521: {47, 52}
9523: {68, 73}
9529: {8, 13}
9531: {11, 16}
9539: {68, 73}
9543: {68, 73}
9549: {83, 88}
9576: {6, 11}
9578: {62, 67}
9580: {91, 96}
9594: {17, 22}
9594: {18, 23}
9639: {79, 84}
9674: {12, 17}
9687: {81, 86}
9687: {82, 87}
9687: {89, 94}
9690: {22, 27}
9698: {67, 72}
9699: {15, 20}
9699: {41, 46}
9699: {42, 47}
9699: {43, 48}
9702: {35, 40}
9727: {1, 6}
9727: {2, 7}
9743: {44, 49}
9743: {45, 50}
9785: {64, 69}
9788: {33, 38}
9800: {79, 84}
9832: {60, 65}
9867: {91, 96}
9893: {55, 60}
9897: {77, 82}
9897: {78, 83}
9954: {33, 38}
9957: {10, 15}
9977: {78, 83}
9981: {8, 13}
9985: {24, 29}
9985: {25, 30}
1825: {90, 95}
1834: {35, 40}
1834: {83, 88}
1835: {9, 14}
1835: {10, 15}
1835: {11, 16}
1838: {3, 8}
1862: {69, 74}
1862: {70, 75}
1879: {12, 17}
1879: {13, 18}
1921: {32, 37}
1924: {1, 6}
1936: {47, 52}
1968: {28, 33}
2003: {59, 64}
2029: {23, 28}
2033: {45, 50}
2033: {46, 51}
2090: {1, 6}
2092: {78, 83}
2113: {46, 51}
2116: {76, 81}
2120: {92, 97}
2120: {93, 98}
2120: {94, 99}
2120: {95, 100}
2140: {91, 96}
2149: {10, 15}
2158: {15, 20}
2158: {16, 21}
2176: {46, 51}
2192: {57, 62}
2194: {95, 100}
2194: {96, 101}
2198: {16, 21}
2198: {17, 22}
2208: {17, 22}
2208: {18, 23}
2208: {19, 24}
2216: {54, 59}
2218: {54, 59}
2249: {49, 54}
2249: {50, 55}
2249: {51, 56}
2250: {26, 31}
2254: {36, 41}
2265: {23, 28}
2268: {16, 21}
2268: {23, 28}
